id,judul,genre,sinopsis
20,Naruto,"Action, Adventure, Fantasy","Beberapa saat sebelum kelahiran Naruto Uzumaki, iblis besar yang dikenal sebagai Kyuubi, Rubah Ekor Sembilan, menyerang Konohagakure, Desa Daun Tersembunyi, dan mendatangkan malapetaka. Untuk mengakhiri amukan Kyuubi, pemimpin desa, Hokage Keempat, mengorbankan nyawanya dan menyegel monster mengerikan itu di dalam tubuh Naruto yang baru lahir.

Kini, Naruto adalah seorang ninja hiperaktif dan bodoh yang masih tinggal di Konohagakure. Dijauhi karena Kyuubi di dalam dirinya, Naruto berjuang untuk menemukan tempatnya di desa, sementara hasratnya yang membara untuk menjadi Hokage di Konohagakure membawanya tidak hanya ke beberapa teman baru, tetapi juga beberapa musuh yang mematikan."
21,One Piece,"Action, Adventure, Fantasy","Gol D. Roger dikenal sebagai ""Raja Bajak Laut"", makhluk terkuat dan paling terkenal yang pernah mengarungi Grand Line. Penangkapan dan eksekusi Roger oleh Pemerintah Dunia membawa perubahan di seluruh dunia. Kata-kata terakhirnya sebelum kematiannya mengungkap keberadaan harta karun terbesar di dunia, One Piece. Wahyu inilah yang melahirkan Zaman Agung Bajak Laut, orang-orang yang bermimpi menemukan One Piece—yang menjanjikan kekayaan dan ketenaran yang tak terbatas—dan sangat mungkin puncak kejayaan dan gelar Raja Bajak Laut.

Masukkan Monkey D. Luffy, seorang anak laki-laki berusia 17 tahun yang menentang definisi standar Anda tentang bajak laut. Daripada kepribadian populer dari bajak laut jahat, keras kepala, ompong yang mengobrak-abrik desa untuk bersenang-senang, alasan Luffy menjadi bajak laut adalah salah satu keajaiban murni: pemikiran tentang petualangan menarik yang membawanya ke orang-orang yang menarik dan pada akhirnya, harta karun yang dijanjikan. Mengikuti jejak pahlawan masa kecilnya, Luffy dan krunya melakukan perjalanan melintasi Grand Line, mengalami petualangan gila, mengungkap misteri kelam, dan melawan musuh yang kuat, semuanya demi mencapai keberuntungan yang paling didambakan—One Piece."
22,Tennis no Ouji-sama,Sports,"Atas permintaan ayahnya, pemain tenis ajaib Ryouma Echizen telah kembali dari Amerika dan siap untuk menggemparkan dunia tenis Jepang. Bertujuan untuk menjadi pemain tenis terbaik di negaranya, ia mendaftar di Akademi Seishun—rumah bagi salah satu tim tenis sekolah menengah terbaik di Jepang. 

Setelah Ryouma menarik perhatian sang kapten, dia mendapati dirinya bermain untuk mendapatkan tempat di starting lineup dalam pertandingan peringkat intra-sekolah meskipun dia masih mahasiswa baru. Karena usianya, Tim Tenis Putra Seishun lainnya awalnya enggan menerimanya, namun keterampilan dan tekadnya meyakinkan mereka untuk mengizinkannya masuk.

Berbekal ""pemula super"" baru mereka, Seishun bersiap untuk mengklaim tempat di Turnamen Nasional, berharap untuk mengambil gelar yang didambakan untuk diri mereka sendiri. Untuk itu, tim harus lolos dengan bermain melalui Prefektur Tokyo dan Regional Kanto. Namun, jalan di depan mereka dimiliki oleh banyak sekolah kuat, yang masing-masing bermain tenis dengan cara yang unik dan sesuai dengan alasannya masing-masing. Ryouma dan rekan satu timnya harus belajar bekerja sama jika ingin menjadi juara yang mereka cita-citakan."
23,Ring ni Kakero 1,"Action, Sports","Demi memenuhi keinginan mendiang ayah mereka, kakak beradik Takane Kiku dan Takane Ryuji mengincar gelar juara arena tinju. Adik mereka, Kiku, akan berperan sebagai pelatih sementara kakaknya, Ryuji, akan berkonsentrasi pada peran petinju dan mempelajari Boomerang. Pertarungannya dengan banyak saingan telah menyebabkan pertumbuhan dan pendewasaan Ryuji. Turnamen tinju SMP telah dimulai dan Ryuji akan melawan rival beratnya, Kenzaki Jun. Pertarungan pun dimulai.

(Sumber: JST)"
24,School Rumble,"Comedy, Romance","Hanya dengan kata-kata ""Aku mencintaimu"", dan segalanya berubah—begitulah sifat cobaan pahit manis dalam percintaan di sekolah menengah. Tenma Tsukamoto, siswa kelas dua, sedang dalam upaya untuk mengungkapkan perasaannya kepada pria yang disukainya. Kenji Harima, seorang berandalan dengan reputasi yang cukup besar, berada dalam situasi yang sama, karena dia tidak dapat menyampaikan perasaannya dengan baik kepada orang yang dia cintai. Antara sekolah, teman, persaingan, dan hobi, keduanya akan menyadari bahwa percintaan di sekolah menengah bukanlah hal yang mudah, terutama karena kesalahpahaman semakin memperumit penderitaan mereka.

School Rumble adalah komedi romantis beroktan tinggi yang penuh dengan situasi yang berhubungan, saat Tenma dan Kenji berusaha memenangkan hati orang-orang yang mereka idamkan."
25,Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi","Gurun Besar Kanto, gurun terik yang hanya berisi reruntuhan dan pasir, adalah satu-satunya yang tersisa dari Jepang pasca-apokaliptik. Populasi yang tadinya cukup baik kini terpaksa bergantung pada bukit-bukit pasir yang tidak ramah untuk bertahan hidup. Setidaknya, itulah yang terjadi pada orang normal. Bagi mereka yang menghabiskan waktu terlalu lama di bawah sinar matahari Kanto, gurun menawarkan kesempatan luar biasa untuk membuat nama mereka terkenal.

Salah satu orang tersebut adalah tukang bertopeng ""Sunabouzu,"" atau Desert Punk, yang telah membangun reputasi legendaris karena selalu menyelesaikan pekerjaannya, tidak peduli sifat atau biayanya. Licik dan kejam, dia telah menjadi kekuatan penghancur yang kejam bagi orang-orang gurun lainnya. Namun, ""Vixen Gurun"", Junko Asagiri, menemukan bahwa Sunabouzu bukannya tanpa kelemahan—dia mudah terpengaruh oleh nafsunya yang tak terpuaskan terhadap bayi gurun berdada besar. 

Menyusul petualangan kacau mereka di Gurun Kanto, Sunabouzu menampilkan tokoh-tokoh aneh yang menghibur diri mereka dengan kekerasan dan penyimpangan yang tidak masuk akal di dunia yang telah lama dihancurkan oleh nenek moyang mereka. Dan sama seperti mereka, mereka belum belajar apa pun."
26,Texhnolyze,"Action, Drama, Sci-Fi","Di kota bawah tanah Lux yang gelap, orang-orang hidup dalam ketakutan dan keputusasaan di bawah kekuasaan berbagai faksi kriminal. Hampir terpencil dari permukaan, satu-satunya interaksi geng dengan dunia luar adalah operasi penambangan ""raffia"", yang merupakan alasan utama kota tersebut.

Hanya tersedia di Lux, zat langka ini adalah dasar dari transplantasi ""texhnolyze"" yang memungkinkan manusia mengganti bagian tubuhnya dengan prostesis cybernetic. Yang terakhir ini mempunyai kekhususan untuk tidak memicu respon imun pada inangnya dan ""Kelas"" mempunyai hak istimewa untuk melakukan penelitian terhadap mereka. Organisasi yang sulit dipahami ini, yang juga bertanggung jawab atas produksi rafia, mendelegasikan wewenang eksekutifnya kepada sebuah kelompok bernama Organo yang dipimpin oleh Keigo Oonishi—seorang pria yang sok suci dengan kaki yang tidak bisa digerakkan yang dikabarkan mendengar ""suara kota"".

Keseimbangan kekuatan yang rapuh di Lux terganggu ketika seorang pengunjung misterius bernama Kazuho Yoshii mulai melakukan serangkaian kejahatan yang membuat geng-geng tersebut saling serang. Di tengah kekacauan tersebut, muncul aktor-aktor baru: Ichise, mantan petinju yang dimutilasi oleh Organo dan baru-baru ini di-tekshnolisis oleh Eriko ""Doc"" Kamata; dan Ran, seorang penjual bunga muda yang bisa melihat masa depan. Sementara Lux semakin terjerumus ke dalam kegilaan, baik Ichise maupun Ran mendapati diri mereka terlibat dalam krisis terbesar yang pernah dihadapi kota ini."
27,Trinity Blood,"Action, Supernatural","Setelah Armageddon, sebuah perang apokaliptik, umat manusia menghadapi ancaman lain: vampir. Konfrontasi yang terus-menerus antar ras telah memecah dunia menjadi faksi-faksi yang terpisah. Ras vampir, Metusalah, berafiliasi dengan Kerajaan Manusia Baru; sedangkan manusia, yang dianggap sebagai Terrans oleh para vampir, merupakan Negara Kepausan Vatikan. Selain itu, kelompok ekstremis seperti Ordo Rosenkreuz berusaha untuk menghidupkan kembali perang, meskipun faksi-faksi tersebut berupaya menghindari konflik langsung.

Untuk memerangi organisasi teroris, Vatikan telah menerapkan unit AX. Dipimpin oleh Kardinal Caterina Sforza, agen AXE menyelidiki gangguan terkait vampir dengan harapan bahwa suatu hari Terrans dan Metusalah akan mencapai hidup berdampingan secara damai. Di antara unit AXE ada pendeta Abel Nightroad—seorang yang tampak bingung namun berhati lembut yang merupakan pembunuh vampir yang kejam di medan perang. Bergabung dengan unit tersebut sebagai rekannya adalah agen Suster Esther Blanchett, seorang biarawati muda pemberani dan lembut yang bermasalah dengan masa lalu yang tragis. 

Saat keduanya semakin dekat, mereka mulai mengungkap tanda-tanda rencana jahat dan kekuatan gelap yang bekerja di balik bayang-bayang. Namun jalan yang mereka lalui penuh dengan kemalangan yang mungkin saja memaksa mereka untuk menghadapi kenangan yang mengganggu hati mereka."
28,Yakitate!! Japan,"Comedy, Gourmet","Meskipun negara-negara seperti Perancis, Inggris, dan Jerman mempunyai roti yang terkenal secara internasional, Jepang tidak memiliki roti yang reputasinya bisa menandinginya.

Oleh karena itu, setelah menemukan keajaiban pembuatan roti di usia muda, Kazuma Azuma memulai upaya untuk menciptakan roti nasional unik Jepang. Dan diberkati dengan kehangatan tangan yang luar biasa yang memungkinkan adonan berfermentasi lebih cepat, Azuma mampu membawa inovasi pembuatan kuenya ke tingkat yang lebih tinggi.

Saat ia mulai bekerja di jaringan toko roti bergengsi Jepang, Pantasia, Azuma bertemu dengan pembuat roti berbakat lainnya dan merasakan langsung dunia pembuatan kue yang kompetitif. Bersama teman-teman dan saingan barunya, Azuma berupaya menciptakan roti baru dan tak tertandingi yang akan memulai revolusi pembuatan kue."
29,Zipang,"Action, Drama, Sci-Fi","Mirai, kapal perusak berpeluru kendali Aegis kelas Kongou yang ditingkatkan, adalah salah satu kapal terbaru dan tercanggih di seluruh Pasukan Bela Diri Jepang (SDF). Awaknya, juga salah satu yang terbaru, dipimpin oleh Kapten Umezu Saburo dan Pejabat Eksekutif Kadomatsu Yosuke. Saat menjalankan latihan terjadwal suatu hari, Mirai menghadapi badai dahsyat yang membuat sistem navigasi mereka kacau untuk sementara. Setelah beberapa menit pemulihan, para kru terkejut saat mengetahui bahwa mereka telah dibawa kembali ke masa 4 Juni 1942—Pertempuran Midway, selama Perang Dunia II. Membiarkan sejarah mengambil jalannya sendiri dalam pertempuran ini, mereka berhasil menghindari konflik secara langsung dan bersumpah untuk tetap anonim, mengubah sejarah sesedikit mungkin. Namun, ketika kru menemukan Letnan Komandan Kusaka Takumi yang sekarat, XO. Naluri Kadomatsu untuk menyelamatkan nyawa mengambil alih, mengubah jalannya sejarah lebih dari yang dia bayangkan.

(Sumber: JST)"
30,Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Lima belas tahun setelah peristiwa dahsyat yang dikenal sebagai Second Impact, dunia menghadapi ancaman baru: makhluk surgawi mengerikan yang disebut ""Malaikat"" menyerang Tokyo-3 satu per satu. Umat ​​​​manusia tidak mampu mempertahankan diri melawan para Malaikat meskipun mereka menggunakan amunisi dan taktik militer paling canggih. Satu-satunya harapan keselamatan manusia ada di tangan NERV, sebuah organisasi misterius yang dipimpin oleh Gendou Ikari yang dingin. NERV mengoperasikan robot humanoid raksasa yang dijuluki ""Evangelions"" untuk melawan para Malaikat dengan persenjataan canggih dan penghalang pelindung yang dikenal sebagai Absolute Terror Fields.

Bertahun-tahun setelah ditinggalkan oleh ayahnya, Shinji Ikari, putra Gendou yang berusia 14 tahun, kembali ke Tokyo-3. Shinji menjalani pertarungan internal yang tiada henti melawan trauma terpendam yang disebabkan oleh kehilangan ibunya dan pengabaian emosional yang dideritanya di tangan ayahnya. Takut untuk membuka diri terhadap orang lain, kehidupan Shinji berubah selamanya setelah bertemu Misato Katsuragi, 29 tahun, seorang perwira NERV berpangkat tinggi yang menunjukkan kepadanya kebaikan keibuan berjiwa bebas yang belum pernah dia alami.

Serangan Malaikat yang menghancurkan memaksa Shinji bertindak saat Gendou mengungkapkan motif sebenarnya mengundang putranya kembali ke Tokyo-3: Shinji adalah satu-satunya anak yang mampu mengemudikan Evangelion Unit-01 secara efisien, robot baru yang menyinkronkan dengan biometriknya. Meskipun trauma psikologis brutal yang diakibatkan oleh mengemudikan Evangelion, Shinji membela Tokyo-3 dari ancaman malaikat, tidak menyadari intrik gelap ayahnya."
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Sci-Fi","Pada tahun 2015, lebih dari satu dekade telah berlalu sejak peristiwa bencana yang disebut Second Impact menimpa umat manusia. Selama masa pemulihan ini, beberapa orang terpilih mengetahui tentang makhluk yang dikenal sebagai Malaikat—entitas jahat yang sangat besar dengan tujuan memicu Dampak Ketiga dan memusnahkan seluruh umat manusia.

Dipanggil ke kota Tokyo-3 oleh ayahnya Gendou Ikari, remaja Shinji terjun langsung ke dalam perjuangan kemanusiaan. Terpisah dari Gendou sejak kematian ibunya, Shinji berasumsi bahwa ayahnya ingin memperbaiki ikatan keluarga mereka yang hancur; sebaliknya, dia menemukan bahwa dia dibawa untuk mengemudikan mesin raksasa yang mampu melawan para Malaikat, Evangelion Unit-01. Dipaksa berjuang melawan gelombang demi gelombang ancaman terbesar umat manusia, anak muda tersebut mendapati dirinya terjebak di tengah rencana yang dapat mempengaruhi masa depan umat manusia selamanya."
32,Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi","Shinji Ikari mengalami koma secara emosional setelah kematian seorang teman baiknya. Karena putranya secara mental tidak mampu mengemudikan robot humanoid Evangelion Unit-01, NERV Gendou Ikari berpacu melawan organisasi bayangan SEELE untuk melihat siapa yang dapat melaksanakan rencana akhir mereka terlebih dahulu. SEELE ingin menciptakan makhluk seperti dewa dengan menggabungkan jiwa mereka ke dalam unit Evangelion, sementara Gendou ingin mengembalikan seluruh umat manusia menjadi satu makhluk primordial sehingga dia dapat bertemu kembali dengan Yui, mendiang istrinya.

SEELE melepaskan kekuatan militernya dalam invasi mematikan ke markas NERV. Saat pasukan SEELE menebas ilmuwan dan personel keamanan NERV, Asuka Langley Souryuu mengemudikan Evangelion Unit-02 dalam perjuangan terakhir melawan persenjataan terberat SEELE.

Pertempuran berkecamuk, dan Shinji yang depresi bersembunyi jauh di dalam markas NERV. Dengan nasib dunia berada di tangan Shinji, Kapten Misato Katsuragi memburu remaja laki-laki tersebut saat masyarakat di sekitar mereka runtuh."
33,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror","Guts, seorang pria yang suatu hari nanti dikenal sebagai Pendekar Pedang Hitam, adalah seorang tentara bayaran muda yang bepergian dengan ciri khas pedang besar yang dibawanya. Dia menerima pekerjaan yang menawarkan uang paling banyak, tapi dia tidak pernah tinggal lama di satu kelompok—sampai dia bertemu dengan Band of the Falcon. Disergap setelah menyelesaikan pekerjaan, Guts menghancurkan banyak anggotanya dalam pertempuran. Griffith, pemimpin dan pendiri The Band of the Falcon, tertarik pada Guts dan berduel dengannya. Sementara yang lain bukan tandingan Guts, Griffith mengalahkannya dalam satu pukulan.

Lumpuh dan dibawa ke kamp Band of the Falcon untuk pulih, Guts bangun dua hari kemudian. Dia menghadapi Griffith, dan keduanya berduel lagi, hanya saja kali ini dengan syarat: Guts akan bergabung dengan Band of the Falcon jika dia kalah. Karena cedera barunya, Guts kalah dalam pertarungan dan dilantik oleh Griffith.

Dalam waktu tiga tahun, Guts telah menjadi salah satu komandan Kelompok Falcon. Di medan perang, kekuatan tempurnya adalah yang kedua setelah Griffith saat ia menghadapi banyak musuh sendirian. Dengan kekuatan Guts yang luar biasa dan kepemimpinan Griffith, Band of the Falcon mendominasi setiap pertempuran yang mereka ikuti. Namun sesuatu yang mengancam mengintai di balik bayang-bayang, mengancam akan mengubah hidup Guts selamanya."
43,Koukaku Kidoutai,"Action, Award Winning, Mystery, Sci-Fi, Suspense","Pada tahun 2029, Kota Niihama telah menjadi kota metropolitan yang berteknologi maju. Karena kemajuan besar dalam sibernetika, warganya dapat mengganti anggota tubuh mereka dengan bagian robotik. Dunia kini semakin terhubung dibandingkan sebelumnya, dan Bagian Keamanan Publik 9 kota ini bertanggung jawab untuk memerangi korupsi, terorisme, dan ancaman berbahaya lainnya menyusul peralihan menuju globalisasi.

Mayor Motoko Kusanagi dari Bagian 9 yang berkemauan keras mempelopori kasus yang melibatkan seorang peretas misterius yang hanya dikenal sebagai ""Master Boneka"", yang meninggalkan jejak korban yang hilang ingatannya. Seperti kebanyakan orang di dunia futuristik ini, tubuh Puppet Master hampir seluruhnya berbentuk robot, sehingga memberi mereka kekuatan luar biasa.

Saat Motoko dan bawahannya mengikuti jejak penjahat misterius tersebut, pihak lain—termasuk Bagian 6—mulai terlibat, memaksanya untuk menghadapi sifat kasus yang sangat rumit. Merenungkan berbagai pertanyaan filosofis, seperti makna hidupnya sendiri, Motoko segera menyadari bahwa yang akan memberikan jawaban tersebut tidak lain adalah sang Dalang sendiri."
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance","Ketika kebiadaban umat manusia melampaui rasa takutnya akan kematian, maka hanya ada sedikit harapan bagi mereka yang ingin menjalani kehidupan yang jujur. Di bawah bulan purnama, seorang anak lelaki menyaksikan pembunuhan para bandit yang memperbudaknya, dan kemudian dibaptis dengan nama baru oleh orang yang menyelamatkannya. Anak laki-laki ini adalah Shinta, yang sekarang dikenal sebagai Kenshin Himura, dan dia ditakdirkan untuk menjadi seorang pendekar pedang. Kelembutan hatinya tidak sesuai dengan pekerjaan, namun keinginannya untuk melindungi orang yang tidak bersalah adalah mutlak.

Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen merinci asal usul pria yang akan menyandang nama Hitokiri Battousai jauh sebelum dia bersumpah untuk tidak membunuh dan sebelum dia mendapatkan reputasinya sebagai seorang pembunuh. Hati pemuda itu terbelah antara keadilan dan korupsi, sedangkan nasib suatu bangsa bergantung pada perbuatannya."
